Number,Catalyst,A_f (kmol s-1 kg-1),Ea_f (kJ/kmol),A_1 (kmol s-1 kg-1),Ea_1 (kJ/kmol),A_2 (kmol s-1 kg-1),Ea_2 (kJ/kmol),A_3 (kmol s-1 kg-1),Ea_3 (kJ/kmol),A_4 (kmol s-1 kg-1),Ea_4 (kJ/kmol),A_5 (kmol s-1 kg-1),Ea_5 (kJ/kmol),Reference,,Reference,
55,1.90 wt% Ru/Al2O3  ,3.55.E+07,5.45.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,6.18.E-05,0.00.E+00,7.13.E+03,0.00.E+00,12 ,,,
56,2.90 wt% Ru/Al2O3  ,5.16.E+07,5.65.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,8.87.E-04,0.00.E+00,7.38.E+03,0.00.E+00,12 ,,,
57,4.70 wt% Ru/Al2O3  ,6.06.E+08,7.10.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.60.E-01,0.00.E+00,7.05.E+03,0.00.E+00,12 ,,,
58,5.70 wt% Ru/Al2O3  ,9.17.E+07,5.64.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.07.E-03,0.00.E+00,8.38.E+03,0.00.E+00,12 ,,,
59,2.00 wt% Ru/SiCe-30-1,7.11.E+07,5.86.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.34.E+03,0.00.E+00,13 ,,,
60,2.00 wt% Ru/SiCe-40-1,4.24.E+07,5.63.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.81.E-01,0.00.E+00,6.34.E+03,0.00.E+00,13 ,,,
61,2.00 wt% Ru/SiCe-70-1,2.74.E+08,6.44.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.96.E-03,0.00.E+00,6.90.E+03,0.00.E+00,13 ,,,
62,2.00 wt% Ru/SiCe-90-1,8.10.E+07,5.71.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.10.E-03,0.00.E+00,6.33.E+03,0.00.E+00,13 ,,,
63,2.00 wt% Ru/SiCe-100-1,9.45.E+07,5.62.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.46.E+03,0.00.E+00,13 ,,,
64,2.00 wt% Ru/SiCe-100-3,1.58.E+08,6.68.E+04,4.84.E-05,0.00.E+00,7.44.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.55.E-05,0.00.E+00,4.49.E+03,0.00.E+00,13 ,,,
65,2.00 wt% Ru/SiCe-100-5,5.52.E+07,6.08.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.31.E-04,0.00.E+00,5.60.E+03,0.00.E+00,13 ,,,
66,2.00 wt% Ru/Al2O3  ,1.03.E+08,7.92.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.46.E+03,0.00.E+00,13 ,,,
67,2.00 wt% Ru/La2O3-Al2O3,3.38.E+07,6.52.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.82.E-02,0.00.E+00,4.88.E+03,0.00.E+00,13 ,,,
68,2.00 wt% Ru/La2O2CO3-Al2O3,1.07.E+08,7.22.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.49.E-03,0.00.E+00,4.57.E+03,0.00.E+00,13 ,,,
69,1.00 wt% Ru/CNF,1.50.E+07,6.16.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.34.E-01,0.00.E+00,5.32.E+03,0.00.E+00,14 ,,,
70,3.20 wt% Ru/CNF,4.48.E+07,6.04.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.41.E+03,0.00.E+00,14 ,,,
71,5.50 wt% Ru/CNF,7.89.E+07,6.29.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.97.E-03,0.00.E+00,7.40.E+03,0.00.E+00,14 ,,,
72,7.90 wt% Ru/CNF,6.29.E+07,6.04.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.89.E-03,0.00.E+00,7.34.E+03,0.00.E+00,14 ,,,
