A_f,Ea_f(J/mol),A_1,Ea_1(J/mol),A_2,Ea_2(J/mol),A_3,Ea_3(J/mol),A_4,Ea_4(J/mol),A_5,Ea_5(J/mol)
10000000000.0,66369.607,6.752258928476833e-05,3.215711218148,5.1498401994964e-05,146206.7266212,4.5399929762484854e-05,9.914257602440001,4.5399929762484854e-05,0.172222988538,56862.71881424349,715.35306329
10000000100.0,96301.4204,4.5399929762484854e-05,863209.6549900001,4.546542686317746e-05,146206.6958594,18.75614214799867,119266.695333,4.5399929762484854e-05,9812.34791604,5924.561767637604,3126.258738822
10000000000.0,67852.013,4.5399929762484854e-05,3.581489007004,5.149611139698656e-05,146206.7266212,0.003511592748245242,9.9229136404,4.5399929762484854e-05,0.2086890389032,95819.92234394737,247.113338898
10000000000.0,47984.8323,4.5399929762484854e-05,3.5050721397320004,5.149623550276451e-05,146206.7266212,4.5399929762484854e-05,9.9047911989,4.5399929762484854e-05,0.2159737948022,290929.3985352272,-0.0
10000000000.0,45659.9692,4.5399929762484854e-05,3.547359022696,5.1496110367064354e-05,146206.7266212,4.5399929762484854e-05,9.91324080024,4.5399929762484854e-05,0.2096129853628,308692.8967433845,109.2160562048
10000000000.0,46123.1526,4.5399929762484854e-05,3.5833965711639997,5.1496115516675614e-05,146206.7266212,4.5399929762484854e-05,9.9223137853,4.5399929762484854e-05,0.2088513913696,298890.3910359473,-0.0
10000000000.0,68059.8956,0.13692360724875213,2772.1584784340002,5.1496088738702485e-05,146206.7266212,4.5399929762484854e-05,9.92363920318,4.5399929762484854e-05,0.2449401532462,55179.898040075175,495.156557126
10000000000.0,62797.7335,4.5399929762484854e-05,3.6493268488979997,5.149407940052239e-05,146206.7266212,4.5399929762484854e-05,10.266057611819999,4.5399929762484854e-05,0.6078235418924001,128460.66146642122,1787.0829929600002
10000000000.0,66749.971,4.5399929762484854e-05,3.5804549532539998,5.149611139698656e-05,146206.7266212,4.5399929762484854e-05,9.92266222504,4.5399929762484854e-05,0.208715050915,99556.4799709273,43.41619037828001
10000000000.0,47313.924,4.5399929762484854e-05,3.571151612196,5.1496095433194465e-05,146206.7266212,4.5399929762484854e-05,14.043212651360001,4.5399929762484854e-05,7.38842894323,282033.7715445215,467.81616267360005
10000000000.0,57898.6584,0.00010484669839010689,3.596873864468,5.149610161272634e-05,146206.7266212,4.5399929762484854e-05,9.92990629638,4.542015812032449e-05,0.2092874398846,94144.85634137993,96.0220499798
10000000000.0,54755.1241,6.0325795478032724e-05,89919.17241360001,4.5399929762484854e-05,146260.9596746,4.5399929762484854e-05,28618.59621186,4.5399929762484854e-05,1259.607007934,130787.58531411314,2047.096891296
10000000000.0,51335.5191,0.0001234992493564672,3.1812593905860003,5.1496115516675614e-05,146206.7266212,4.5399929762484854e-05,9.924793435800002,4.5399929762484854e-05,0.2222041384594,110176.60970043922,32.90367171906
10000000000.0,55183.2535,4.5399929762484854e-05,-0.0,5.148815431771197e-05,146206.7266212,4.5399929762484854e-05,7.88910704392,4.5399929762484854e-05,0.09113204035,80095.92837566568,-0.0
10000000000.0,52647.1065,0.00012571823314792426,3.584697629024,5.149611345683105e-05,146206.7266212,4.5399929762484854e-05,9.92391614252,4.5399929762484854e-05,0.2086777285376,103038.59440610105,113.095075952
10000000000.0,60939.9854,0.051785629033175365,-0.0,5.149622314366955e-05,146206.7266212,4.5399929762484854e-05,9.67419185012,4.5399929762484854e-05,1.52848828611,48813.632141843154,-0.0
10000000000.0,59513.1641,0.010346143680046488,3.5561192101340002,5.1496120151326235e-05,146206.7266212,6.842964231731574e-05,9.92153883736,4.5399929762484854e-05,0.2086864332956,54528.8555407265,27.529952072740002
